Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
ELEICOES 2010 MARCUS ANTONIO VICENTE;12.175.200/0001-64;29/10/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 362,50;Estimado;1145 -  - PP -  - Deputado Federal / 11299 - ANTARIO ALEXANDRE THEODORO NETO - ES - Deputado Estadual;
ESPIRITO SANTO HOJE LTDA;03.999.427/0001-33;01/10/2010;       Serviços prestados por terceiros;R$ 1.000,00;Cheque; -  -  / 11299 - ANTARIO ALEXANDRE THEODORO NETO - ES - Deputado Estadual;
FLEXO PRODUCOES GRAFICAS LTDA;07.076.053/0001-35;04/10/2010;       Materiais de expediente;R$ 400,00;Cheque; -  -  / 11299 - ANTARIO ALEXANDRE THEODORO NETO - ES - Deputado Estadual;
FONTANA ARTES GRAFICAS LTDA ME;31.287.667/0001-40;27/08/2010;       Publicidade por materiais impressos;R$ 4.000,00;Cheque; -  -  / 11299 - ANTARIO ALEXANDRE THEODORO NETO - ES - Deputado Estadual;
FONTANA ARTES GRAFICAS LTDA ME;31.287.667/0001-40;02/10/2010;       Materiais de expediente;R$ 6.200,00;Cheque; -  -  / 11299 - ANTARIO ALEXANDRE THEODORO NETO - ES - Deputado Estadual;
FUTURA COMUNICACAO VISUAL LTDA ME;08.758.630/0001-31;27/08/2010;       Publicidade por materiais impressos;R$ 4.000,00;Cheque; -  -  / 11299 - ANTARIO ALEXANDRE THEODORO NETO - ES - Deputado Estadual;
FUTURA COMUNICACAO VISUAL LTDA ME;08.758.630/0001-31;03/08/2010;       Publicidade por materiais impressos;R$ 5.000,00;Cheque; -  -  / 11299 - ANTARIO ALEXANDRE THEODORO NETO - ES - Deputado Estadual;
GRAFICA E EDITORA JEP LTDA;27.252.147/0001-25;16/08/2010;       Publicidade por materiais impressos;R$ 32,50;Cheque; -  -  / 11299 - ANTARIO ALEXANDRE THEODORO NETO - ES - Deputado Estadual;
GRAFICA ESPIRITO SANTO LTDA;30.955.538/0001-10;20/09/2010;       Materiais de expediente;R$ 60,00;Cheque; -  -  / 11299 - ANTARIO ALEXANDRE THEODORO NETO - ES - Deputado Estadual;
GRAFICA SANTO ANTONIO LTDA;28.156.297/0001-06;12/08/2010;       Publicidade por materiais impressos;R$ 60,00;Cheque; -  -  / 11299 - ANTARIO ALEXANDRE THEODORO NETO - ES - Deputado Estadual;
GRAFICA SANTO ANTONIO LTDA;28.156.297/0001-06;03/09/2010;       Materiais de expediente;R$ 120,00;Cheque; -  -  / 11299 - ANTARIO ALEXANDRE THEODORO NETO - ES - Deputado Estadual;
GRAFITUSA SA;05.461.408/0001-84;17/08/2010;       Publicidade por materiais impressos;R$ 29,16;Cheque; -  -  / 11299 - ANTARIO ALEXANDRE THEODORO NETO - ES - Deputado Estadual;
HELVETICA PROD GRAFICAS E EDITORA LTDA;36.396.406/0001-82;20/10/2010;       Materiais de expediente;R$ 792,52;Cheque; -  -  / 11299 - ANTARIO ALEXANDRE THEODORO NETO - ES - Deputado Estadual;
JOSE RENATO CASAGRANDE;12.179.825/0001-02;01/10/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 225,00;Estimado;40 -  - PSB -  - Governador / 11299 - ANTARIO ALEXANDRE THEODORO NETO - ES - Deputado Estadual;
JOSE RENATO CASAGRANDE;12.179.825/0001-02;01/10/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 146,23;Estimado;40 -  - PSB -  - Governador / 11299 - ANTARIO ALEXANDRE THEODORO NETO - ES - Deputado Estadual;
JOSE RENATO CASAGRANDE;12.179.825/0001-02;01/10/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 1.136,35;Estimado;40 -  - PSB -  - Governador / 11299 - ANTARIO ALEXANDRE THEODORO NETO - ES - Deputado Estadual;
JOSE RENATO CASAGRANDE;12.179.825/0001-02;01/10/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 330,03;Estimado;40 -  - PSB -  - Governador / 11299 - ANTARIO ALEXANDRE THEODORO NETO - ES - Deputado Estadual;
