Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
AUTO POSTO JARDINS LTDA;00.073.558/0001-05;02/10/2010;       Combustíveis e lubrificantes;R$ 1.990,87;Cheque; -  -  / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
AUTO POSTO JARDINS LTDA;00.073.558/0001-05;30/08/2010;       Combustíveis e lubrificantes;R$ 570,00;Cheque; -  -  / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
ECT - EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS - ACF PROF. JOÃO CÂNDIDO;72.146.723/0001-04;23/09/2010;       Despesas postais;R$ 9.915,67;Cheque; -  -  / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
EDITORA JORNAL DE LONDRINA S/A;79.347.001/0001-67;15/09/2010;       Publicidade por jornais e revistas;R$ 976,00;Cheque; -  -  / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
EDITORA JORNAL DE LONDRINA S/A;79.347.001/0001-67;24/09/2010;       Publicidade por jornais e revistas;R$ 912,00;Cheque; -  -  / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
ELEIÇÃO 2010 CARLOS ALBERTO RICHA GOVERNADOR;12.190.887/0001-07;27/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 5.000,00;Estimado;45 -  - PSDB -  - Governador / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
ELEIÇÃO 2010 CARLOS ALBERTO RICHA GOVERNADOR;12.190.887/0001-07;27/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 2.200,00;Estimado;45 -  - PSDB -  - Governador / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
ELEIÇÃO 2010 CARLOS ALBERTO RICHA GOVERNADOR;12.190.887/0001-07;27/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 6.300,00;Estimado;45 -  - PSDB -  - Governador / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
ELEIÇÃO 2010 GUSTAVO BONATO FRUET SENADOR;12.179.221/0001-58;29/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 250,00;Estimado;456 -  - PSDB -  - Senador / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
ELEIÇÃO 2010 LUCIANO PIZZATTO DEPUTADO FEDERAL;12.175.251/0001-96;31/08/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 1.780,00;Estimado;2552 -  - DEM -  - Deputado Federal / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
ELEIÇÃO 2010 LUCIANO PIZZATTO DEPUTADO FEDERAL;12.175.251/0001-96;27/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 170,00;Estimado;2552 -  - DEM -  - Deputado Federal / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
ELEIÇÃO 2010 RUBENS BUENO DEPUTADO FEDERAL;12.172.903/0001-39;15/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 281,25;Estimado;2300 -  - PPS -  - Deputado Federal / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
ELEIÇÃO 2010 RUBENS BUENO DEPUTADO FEDERAL;12.172.903/0001-39;15/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 260,87;Estimado;2300 -  - PPS -  - Deputado Federal / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
