Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
AUTO POSTO MODELO LTDA.;04.514.063/0001-17;05/08/2010;       Combustíveis e lubrificantes;R$ 2.999,65;Cheque; -  -  / Comitê Financeiro Único - PRB - AC;
AUTO POSTO RD II- R.& M. COM. DE DERIVADOS DE PETRÓLEO LTDA.;07.830.636/0001-00;17/08/2010;       Combustíveis e lubrificantes;R$ 3.000,00;Cheque; -  -  / Comitê Financeiro Único - PRB - AC;
AUTO POSTO RD II- R.& M. COM. DE DERIVADOS DE PETRÓLEO LTDA.;07.830.636/0001-00;03/09/2010;       Combustíveis e lubrificantes;R$ 1.500,00;Cheque; -  -  / Comitê Financeiro Único - PRB - AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;14/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 605,25;Estimado;Comitê Financeiro Distrital/Estadual para Deputado Estadual - PT -  / Comitê Financeiro Único - PRB - AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;23/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 1.950,00;Estimado;Comitê Financeiro Distrital/Estadual para Deputado Estadual - PT -  / Comitê Financeiro Único - PRB - AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;14/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 1.510,80;Estimado;Comitê Financeiro Distrital/Estadual para Deputado Estadual - PT -  / Comitê Financeiro Único - PRB - AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;22/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 1.642,50;Estimado;Comitê Financeiro Distrital/Estadual para Deputado Estadual - PT -  / Comitê Financeiro Único - PRB - AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;30/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 6.000,00;Estimado;Comitê Financeiro Distrital/Estadual para Deputado Estadual - PT -  / Comitê Financeiro Único - PRB - AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;29/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 917,00;Estimado;Comitê Financeiro Distrital/Estadual para Deputado Estadual - PT -  / Comitê Financeiro Único - PRB - AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;20/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 2.250,00;Estimado;Comitê Financeiro Distrital/Estadual para Deputado Estadual - PT -  / Comitê Financeiro Único - PRB - AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;23/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 7.500,00;Estimado;Comitê Financeiro Distrital/Estadual para Deputado Estadual - PT -  / Comitê Financeiro Único - PRB - AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;29/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 139,50;Estimado;Comitê Financeiro Distrital/Estadual para Deputado Estadual - PT -  / Comitê Financeiro Único - PRB - AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;30/08/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 3.177,30;Estimado;Comitê Financeiro Distrital/Estadual para Deputado Estadual - PT -  / Comitê Financeiro Único - PRB - AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;23/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 5.250,00;Estimado;Comitê Financeiro Distrital/Estadual para Deputado Estadual - PT -  / Comitê Financeiro Único - PRB - AC;
Comitê Financeiro Único - PRB;12.205.291/0001-33;13/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 1.700,00;Cheque;10000 - ELEIÇÃO 2010 ELY ROBERTO FERREIRA DOS SANTOS - PRB - AL - Deputado Estadual / Comitê Financeiro Único - PRB - AC;
Comitê Financeiro Único - PRB;12.205.291/0001-33;13/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 1.700,00;Cheque;10333 - ELEIÇÃO 2010 ORLANDO DA COSTA MENDES - PRB - AC - Deputado Estadual / Comitê Financeiro Único - PRB - AC;
Comitê Financeiro Único - PRB;12.205.291/0001-33;13/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 1.700,00;Cheque;1010 - ELEIÇÃO 2010 VALDEMIR JANUÁRIO DE ALMEIDA - PRB - AC - Deputado Federal / Comitê Financeiro Único - PRB - AC;
Comitê Financeiro Único - PRB;12.205.291/0001-33;13/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 1.700,00;Cheque;10123 - ELEIÇÃO 2010 MANOEL MARCOS CARVALHO DE MESQUITA - PRB - AC - Deputado Estadual / Comitê Financeiro Único - PRB - AC;
