Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
Comitê Financeiro Estadual/Distrital para Senador da República - PMDB;12.205.253/0001-80;27/07/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 75.000,00;Cheque;15555 - ELEIÇÃO 2010 FLÁVIA MARIA SILVA CAVALCANTE DEPUTADO ESTADUAL - PMDB - AL - Deputado Estadual / Comitê Financeiro Distrital/Estadual para Senador da República - PMDB - AL;
Comitê Financeiro Estadual/Distrital para Senador da República - PMDB;12.205.253/0001-80;06/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 13.000,00;Cheque;654 - EDUARDO BOMFIM GOMES RIBEIRO - PC do B - AL - Senador / Comitê Financeiro Distrital/Estadual para Senador da República - PMDB - AL;
Comitê Financeiro Estadual/Distrital para Senador da República - PMDB;12.205.253/0001-80;02/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 25.000,00;Cheque;15333 - ELEIÇÃO 2010 FRANCISCO DE SOUZA IRMÃO DEPUTADO ESTADUAL - PMDB - AL - Deputado Estadual / Comitê Financeiro Distrital/Estadual para Senador da República - PMDB - AL;
Comitê Financeiro Estadual/Distrital para Senador da República - PMDB;12.205.253/0001-80;02/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 75.000,00;Cheque;1515 - ELEIÇÃO 2010 JOSÉ RENAN VASCONCELOS CALHEIROS FILHO DEPUTADO FEDERAL - PMDB - AL - Deputado Federal / Comitê Financeiro Distrital/Estadual para Senador da República - PMDB - AL;
Comitê Financeiro Estadual/Distrital para Senador da República - PMDB;12.205.253/0001-80;02/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 25.000,00;Cheque;15789 - ELEIÇÃO 2010 JOGELSON DOMARQUES PAES DE VERAS - PMDB - AL - Deputado Estadual / Comitê Financeiro Distrital/Estadual para Senador da República - PMDB - AL;
Comitê Financeiro Estadual/Distrital para Senador da República - PMDB;12.205.253/0001-80;06/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 25.000,00;Cheque;65123 - EDVALDO FRANCISCO DO NASCIMENTO - PC do B - AL - Deputado Estadual / Comitê Financeiro Distrital/Estadual para Senador da República - PMDB - AL;
Comitê Financeiro Estadual/Distrital para Senador da República - PMDB;12.205.253/0001-80;06/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 45.000,00;Cheque;1515 - JOSÉ RENAN VASCONCELOS CALHEIROS FILHO - PMDB - AL - Deputado Federal / Comitê Financeiro Distrital/Estadual para Senador da República - PMDB - AL;
Comitê Financeiro Estadual/Distrital para Senador da República - PMDB;12.205.253/0001-80;06/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 30.000,00;Cheque;12777 - SÉRGIO TOLEDO DE ALBUQUERQUE - PDT - AL - Deputado Estadual / Comitê Financeiro Distrital/Estadual para Senador da República - PMDB - AL;
Comitê Financeiro Estadual/Distrital para Senador da República - PMDB;12.205.253/0001-80;06/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 25.000,00;Cheque;15789 - JOGELSON DOMARQUES PAES VERAS - PMDB - AL - Deputado Estadual / Comitê Financeiro Distrital/Estadual para Senador da República - PMDB - AL;
Comitê Financeiro Estadual/Distrital para Senador da República - PMDB;12.205.253/0001-80;02/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 50.000,00;Cheque;12333 - ELEIÇÃO 2010 JOSÉ CAVALCANTE DOS SANTOS DEPUTADO ESTADUAL - PDT - AL - Deputado Estadual / Comitê Financeiro Distrital/Estadual para Senador da República - PMDB - AL;
