Doador;CPF/CNPJ;Data;Nº Recibo Eleitoral;Valor R$;Espécie do Recurso;Tipo do Comitê;Partido;UF;
CONSTRUÇOES E COMERCIO CAMARGO CORREA S/A;61.522.512/0001-02;09/08/2010;22000032905;R$ 200.000,00;Transferência eletrônica;Comitê Financeiro Único;PR;AM;
CONSTRUTORA MEIRELLES MASCARENHAS LTDA;03.477.793/0001-22;01/09/2010;22000032906;R$ 300.000,00;Transferência eletrônica;Comitê Financeiro Único;PR;AM;
Diretório Nacional;08.517.423/0001-95;09/09/2010;22000032907;R$ 700.000,00;Cheque;Comitê Financeiro Único;PR;AM;
Diretório Nacional;08.517.423/0001-95;01/10/2010;22000032917;R$ 1.000.000,00;Cheque;Comitê Financeiro Único;PR;AM;
Diretório Nacional;08.517.423/0001-95;24/09/2010;22000032912;R$ 1.000.000,00;Cheque;Comitê Financeiro Único;PR;AM;
Diretório Nacional;08.517.423/0001-95;04/08/2010;22000032904;R$ 2.000.000,00;Transferência eletrônica;Comitê Financeiro Único;PR;AM;
Diretório Nacional;08.517.423/0001-95;13/07/2010;22000032901;R$ 3.000.000,00;Transferência eletrônica;Comitê Financeiro Único;PR;AM;
ELEIÇAO 2010 ALFREDO PEREIRA DO NASCIMENTO;12.169.771/0001-96;01/10/2010;22000032918;R$ 50.000,00;Estimado;Comitê Financeiro Único;PR;AM;
ELEIÇAO 2010 ALFREDO PEREIRA DO NASCIMENTO;12.169.771/0001-96;01/10/2010;22000032919;R$ 21.000,00;Estimado;Comitê Financeiro Único;PR;AM;
ENPA ENGENHARIA E PARCERIA LTDA;00.818.517/0001-92;22/09/2010;22000032910;R$ 100.000,00;Transferência eletrônica;Comitê Financeiro Único;PR;AM;
F JAP E CIA LTDA;04.819.241/0001-18;29/09/2010;22000032913;R$ 200.000,00;Cheque;Comitê Financeiro Único;PR;AM;
F JAP E CIA LTDA;04.819.241/0001-18;30/09/2010;22000032914;R$ 100.000,00;Cheque;Comitê Financeiro Único;PR;AM;
PANASONIC DO BRASIL LTDA;04.403.408/0001-65;27/09/2010;22000032916;R$ 50.000,00;Transferência eletrônica;Comitê Financeiro Único;PR;AM;
TESCON ENGENHARIA LTDA;39.785.563/0001-78;09/09/2010;22000032908;R$ 100.000,00;Transferência eletrônica;Comitê Financeiro Único;PR;AM;
WALDEMIRO P LUSTOZA E CIA LTDA;04.562.773/0001-12;22/09/2010;22000032909;R$ 110.000,00;Transferência eletrônica;Comitê Financeiro Único;PR;AM;
