Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
Comitê Financeiro Único - PRB;12.200.131/0001-00;21/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 45.906,00;Transferência eletrônica;10123 - SIDELVAN DE ALMEIDA NÓBREGA - PRB - BA - Deputado Estadual / Comitê Financeiro Único - PRB - BA;
Comitê Financeiro Único - PRB;12.200.131/0001-00;21/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 45.906,00;Transferência eletrônica;10456 - JOSÉ DE ARIMATEIA CORIOLANO DE PAIVA - PRB - BA - Deputado Estadual / Comitê Financeiro Único - PRB - BA;
Comitê Financeiro Único - PRB;12.200.131/0001-00;22/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 71.000,00;Transferência eletrônica;1010 - MÁRCIO CARLOS MARINHO - PRB - BA - Deputado Federal / Comitê Financeiro Único - PRB - BA;
Comitê Financeiro Único - PRB;12.200.131/0001-00;21/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 22.000,00;Transferência eletrônica;1010 - MÁRCIO CARLOS MARINHO - PRB - BA - Deputado Federal / Comitê Financeiro Único - PRB - BA;
JAQUES WAGNER;12.174.245/0001-14;30/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 7.000,00;Estimado;13 -  - PT -  - Governador / Comitê Financeiro Único - PRB - BA;
JAQUES WAGNER;12.174.245/0001-14;30/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 637,00;Estimado;13 -  - PT -  - Governador / Comitê Financeiro Único - PRB - BA;
JAQUES WAGNER;12.174.245/0001-14;30/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 7.000,00;Estimado;13 -  - PT -  - Governador / Comitê Financeiro Único - PRB - BA;
JAQUES WAGNER;12.174.245/0001-14;30/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 748,72;Estimado;13 -  - PT -  - Governador / Comitê Financeiro Único - PRB - BA;
JAQUES WAGNER;12.174.245/0001-14;30/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 4.800,00;Estimado;13 -  - PT -  - Governador / Comitê Financeiro Único - PRB - BA;
JAQUES WAGNER;12.174.245/0001-14;30/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 2.462,46;Estimado;13 -  - PT -  - Governador / Comitê Financeiro Único - PRB - BA;
JAQUES WAGNER;12.174.245/0001-14;30/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 2.954,00;Estimado;13 -  - PT -  - Governador / Comitê Financeiro Único - PRB - BA;
JAQUES WAGNER;12.174.245/0001-14;30/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 1.901,20;Estimado;13 -  - PT -  - Governador / Comitê Financeiro Único - PRB - BA;
JAQUES WAGNER;12.174.245/0001-14;30/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 3.298,85;Estimado;13 -  - PT -  - Governador / Comitê Financeiro Único - PRB - BA;
JAQUES WAGNER;12.174.245/0001-14;30/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 1.033,90;Estimado;13 -  - PT -  - Governador / Comitê Financeiro Único - PRB - BA;
JAQUES WAGNER;12.174.245/0001-14;30/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 3.366,44;Estimado;13 -  - PT -  - Governador / Comitê Financeiro Único - PRB - BA;
JAQUES WAGNER;12.174.245/0001-14;30/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 10.000,00;Estimado;13 -  - PT -  - Governador / Comitê Financeiro Único - PRB - BA;
JAQUES WAGNER;12.174.245/0001-14;30/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 3.218,39;Estimado;13 -  - PT -  - Governador / Comitê Financeiro Único - PRB - BA;
JAQUES WAGNER;12.174.245/0001-14;30/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 853,86;Estimado;13 -  - PT -  - Governador / Comitê Financeiro Único - PRB - BA;
JAQUES WAGNER;12.174.245/0001-14;30/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 3.150,00;Estimado;13 -  - PT -  - Governador / Comitê Financeiro Único - PRB - BA;
JAQUES WAGNER;12.174.245/0001-14;30/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 12.000,00;Estimado;13 -  - PT -  - Governador / Comitê Financeiro Único - PRB - BA;
;;04/10/2010;       Encargos financeiros e taxas bancárias;R$ 21,00;Débito em conta; -  -  / Comitê Financeiro Único - PRB - BA;
;;14/09/2010;       Encargos financeiros e taxas bancárias;R$ 2,50;Débito em conta; -  -  / Comitê Financeiro Único - PRB - BA;
;;22/09/2010;       Encargos financeiros e taxas bancárias;R$ 13,50;Débito em conta; -  -  / Comitê Financeiro Único - PRB - BA;
