Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
Comitê Financeiro Único - PMN;12.200.142/0001-81;26/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 50.000,00;Cheque;33789 - ELIAS MONTEIRO LIMA - PMN - GO - Deputado Estadual / Comitê Financeiro Único - PMN - GO;
Comitê Financeiro Único - PMN;12.200.142/0001-81;27/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 10.000,00;Cheque;17899 - ROSIMAR MORENO - PSL - GO - Deputado Estadual / Comitê Financeiro Único - PMN - GO;
Comitê Financeiro Único - PMN;12.200.142/0001-81;11/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 299.000,00;Cheque;3345 - ARMANDO VERGILIO DOS SANTOS JUNIOR - PMN - GO - Deputado Federal / Comitê Financeiro Único - PMN - GO;
Comitê Financeiro Único - PMN;12.200.142/0001-81;21/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 110.000,00;Cheque;3345 - ARMANDO VERGILIO DOS SANTOS JUNIOR - PMN - GO - Deputado Federal / Comitê Financeiro Único - PMN - GO;
Comitê Financeiro Único - PMN;12.200.142/0001-81;30/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 200.000,00;Cheque;3345 - ARMANDO VERGILIO DOS SANTOS JUNIOR - PMN - GO - Deputado Federal / Comitê Financeiro Único - PMN - GO;
Comitê Financeiro Único - PMN;12.200.142/0001-81;27/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 20.000,00;Cheque;33600 - EDSON VIEIRA DA SILVA - PMN - GO - Deputado Estadual / Comitê Financeiro Único - PMN - GO;
Comitê Financeiro Único - PMN;12.200.142/0001-81;26/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 10.000,00;Cheque;33777 - ANTONIO RODRIGUES DO ROSARIO - PMN - GO - Deputado Estadual / Comitê Financeiro Único - PMN - GO;
CONTAC CONTABILIDADE SS;00.407.278/0001-88;03/09/2010;       Serviços prestados por terceiros;R$ 612,52;Cheque; -  -  / Comitê Financeiro Único - PMN - GO;
EPICENTRO COMUNICAÇÃO LTDA;08.938.836/0001-43;01/10/2010;       Produção de programas de rádio, televisão ou vídeo;R$ 5.750,00;Cheque; -  -  / Comitê Financeiro Único - PMN - GO;
;;01/09/2010;       Encargos financeiros e taxas bancárias;R$ 22,00;Débito em conta; -  -  / Comitê Financeiro Único - PMN - GO;
;;29/07/2010;       Encargos financeiros e taxas bancárias;R$ 2,90;Débito em conta; -  -  / Comitê Financeiro Único - PMN - GO;
;;25/08/2010;       Encargos financeiros e taxas bancárias;R$ 2,90;Débito em conta; -  -  / Comitê Financeiro Único - PMN - GO;
;;20/10/2010;       Encargos financeiros e taxas bancárias;R$ 2,90;Débito em conta; -  -  / Comitê Financeiro Único - PMN - GO;
;;01/09/2010;       Encargos financeiros e taxas bancárias;R$ 11,00;Débito em conta; -  -  / Comitê Financeiro Único - PMN - GO;
;;01/09/2010;       Encargos financeiros e taxas bancárias;R$ 11,00;Débito em conta; -  -  / Comitê Financeiro Único - PMN - GO;
