Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
Comitê Financeiro Único - PDT;12.217.534/0001-53;10/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 7.000,00;Transferência eletrônica;12144 - JOAO APARECIDO BUENO - PDT - MT - Deputado Estadual / Comitê Financeiro Único - PDT - MT;
Comitê Financeiro Único - PDT;12.217.534/0001-53;10/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 7.000,00;Transferência eletrônica;12000 - ELEIÇOES 2010 MARCIO PANDOLFI - PDT - MT - Deputado Estadual / Comitê Financeiro Único - PDT - MT;
Comitê Financeiro Único - PDT;12.217.534/0001-53;16/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 7.000,00;Transferência eletrônica;1250 - ELSO RODRIGUES - PDT - MT - Deputado Federal / Comitê Financeiro Único - PDT - MT;
Comitê Financeiro Único - PDT;12.217.534/0001-53;20/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 4.500,00;Transferência eletrônica;12679 - ANTONIO CAMELO NETO - PDT - MT - Deputado Estadual / Comitê Financeiro Único - PDT - MT;
Comitê Financeiro Único - PDT;12.217.534/0001-53;02/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 5.200,00;Transferência eletrônica;12012 - ELEIÇOES 2010 PROF JACY PROENÇA - PDT - MT - Deputado Estadual / Comitê Financeiro Único - PDT - MT;
Comitê Financeiro Único - PDT;12.217.534/0001-53;06/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 2.600,00;Transferência eletrônica;12679 - ANTONIO CAMELO NETO - PDT - MT - Deputado Estadual / Comitê Financeiro Único - PDT - MT;
Comitê Financeiro Único - PDT;12.217.534/0001-53;12/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 7.000,00;Transferência eletrônica;12751 - MIRIAM CALAZANS - PDT - MT - Deputado Estadual / Comitê Financeiro Único - PDT - MT;
Comitê Financeiro Único - PDT;12.217.534/0001-53;12/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 7.000,00;Transferência eletrônica;1222 - ELEIÇOES 2010 ONEZIMO JURUNA - PDT - MT - Deputado Federal / Comitê Financeiro Único - PDT - MT;
Comitê Financeiro Único - PDT;12.217.534/0001-53;10/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 7.000,00;Transferência eletrônica;1223 - ARAHAO CABRAL - PDT - MT - Deputado Federal / Comitê Financeiro Único - PDT - MT;
Comitê Financeiro Único - PDT;12.217.534/0001-53;17/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 7.000,00;Transferência eletrônica;12222 - ALCINO BALCELOS - PDT - MT - Deputado Estadual / Comitê Financeiro Único - PDT - MT;
Comitê Financeiro Único - PDT;12.217.534/0001-53;08/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 2.600,00;Transferência eletrônica;1255 - SANDRA HELENA MARTINI - PDT - MT - Deputado Federal / Comitê Financeiro Único - PDT - MT;
Comitê Financeiro Único - PDT;12.217.534/0001-53;12/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 7.000,00;Transferência eletrônica;1255 - SANDRA HELENA MARTINI - PDT - MT - Deputado Federal / Comitê Financeiro Único - PDT - MT;
Comitê Financeiro Único - PDT;12.217.534/0001-53;06/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 2.600,00;Transferência eletrônica;12333 - ANTONIO GALVAN - PDT - MT - Deputado Estadual / Comitê Financeiro Único - PDT - MT;
Comitê Financeiro Único - PDT;12.217.534/0001-53;06/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 20.000,00;Transferência eletrônica;1233 - WILSON M. KISHI - PDT - MT - Deputado Federal / Comitê Financeiro Único - PDT - MT;
Comitê Financeiro Único - PDT;12.217.534/0001-53;12/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 7.000,00;Transferência eletrônica;12333 - ELEIÇOES 2010 ANTONIO GALVAN - PDT - MT - Deputado Estadual / Comitê Financeiro Único - PDT - MT;
Comitê Financeiro Único - PDT;12.217.534/0001-53;10/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 7.000,00;Transferência eletrônica;1212 - ELEIÇÕES 2010 JULIANO S. RABELO - PDT - MT - Deputado Federal / Comitê Financeiro Único - PDT - MT;
