Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
A. P. DE ALBUQUERQUE SILVA CONFECCOES - ME;97.380.810/0001-52;30/09/2010;       Publicidade por placas, estandartes e faixas;R$ 3.050,00;Cheque; -  -  / Comitê Financeiro Único - PT - PI;
CHARTER TRANSPORTES LTDA;10.644.834/0001-93;30/09/2010;       Locação/cessão de bens móveis;R$ 2.000,00;Cheque; -  -  / Comitê Financeiro Único - PT - PI;
CHROMA AUDIVISUAL LTDA;00.353.368/0001-33;20/09/2010;       Produção de programas de rádio, televisão ou vídeo;R$ 307.500,00;Cheque; -  -  / Comitê Financeiro Único - PT - PI;
GRAFICA EDITORA E PAPELARIA POPULAR IND COM LTDA;00.524.453/0001-17;30/09/2010;       Publicidade por materiais impressos;R$ 15.204,80;Cheque; -  -  / Comitê Financeiro Único - PT - PI;
GRAFICA EDITORA E PAPELARIA POPULAR IND COM LTDA;00.524.453/0001-17;02/10/2010;       Diversas a especificar;R$ 210,00;Cheque; -  -  / Comitê Financeiro Único - PT - PI;
MARQUES E DIAS LTDA;10.994.739/0002-09;02/10/2010;       Combustíveis e lubrificantes;R$ 3.500,00;Cheque; -  -  / Comitê Financeiro Único - PT - PI;
NOGUEIRA & NOGUEIRA - CONSULTORES LEGAIS ASSOCIADOS;08.511.852/0001-55;01/10/2010;       Diversas a especificar;R$ 12.000,00;Cheque; -  -  / Comitê Financeiro Único - PT - PI;
NOGUEIRA & NOGUEIRA - CONSULTORES LEGAIS ASSOCIADOS;08.511.852/0001-55;30/09/2010;       Diversas a especificar;R$ 12.000,00;Cheque; -  -  / Comitê Financeiro Único - PT - PI;
RIO GRANDE VEICULOS LTDA;04.113.389/0001-32;30/09/2010;       Locação/cessão de bens móveis;R$ 2.300,00;Cheque; -  -  / Comitê Financeiro Único - PT - PI;
S. L. DE SOUSA FILHO E CIA LTDA;35.166.685/0001-25;30/09/2010;       Publicidade por placas, estandartes e faixas;R$ 2.087,10;Cheque; -  -  / Comitê Financeiro Único - PT - PI;
