Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
Comitê Financeiro Único - PT;12.200.121/0001-66;26/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 25.000,00;Cheque;13115 - PERICLES DE HOLLEBEN - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;10/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 30.000,00;Cheque;13400 - LYGIA LUMINA PUPATTO - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;27/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 30.000,00;Cheque;13400 - LIGYA PUPATTO - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;19/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 20.000,00;Cheque;13333 - FLORISVALDO RAIMUNDO - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;19/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 25.000,00;Cheque;13166 - ELTON WELTER - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;02/10/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 10.000,00;Cheque;13111 - PEDRO PAULO COSTA - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;22/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 100.000,00;Cheque;1310 - JOSE CARLOS BECKER DE OLIVEIRA E SILVA - PT - PR - Deputado Federal / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;16/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 12.000,00;Cheque;13013 - JOSÉ RODRIGUES LEMOS - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;10/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 20.000,00;Cheque;13333 - FLORISVALDO RAIMUNDO - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;09/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 30.000,00;Cheque;13130 - RUI SERGIO ALVES DE SOUZA - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;10/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 30.000,00;Cheque;1301 - MARCOS VILAS BOAS PESCADOR - PT - PR - Deputado Federal / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;01/10/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 12.000,00;Cheque;13233 - LUCIANA GUZELLA RAFAGNIN - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;04/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 299.000,00;Cheque;131 - GLEISI HELENA HOFFMANN - PT - PR - Senador / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;18/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 40.000,00;Cheque;1301 - MARCOS PESCADOR - PT - PR - Deputado Federal / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;23/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 30.000,00;Cheque;1313 - FLORISVALDO FIER - PT - PR - Deputado Federal / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;08/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 20.000,00;Cheque;13611 - SALETE BAGOLIN BEZ - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;15/10/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 158.480,00;Cheque;131 - ELEIÇÃO 2010 GLEISI HOFFMANN - PT - PR - Senador / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;18/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 15.000,00;Cheque;13611 - SALETE BAGOLIN - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;31/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 20.000,00;Cheque;13233 - LUCIANA RAFFAGNIN - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;09/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 50.000,00;Cheque;13166 - ELTON WELTER - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;14/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 3.000,00;Cheque;13133 - MARIO CANDIDO DE OLIVEIRA - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;21/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 20.000,00;Cheque;13130 - RUI SERGIO ALVEZ DE SOUZA - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;29/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 20.000,00;Cheque;1331 - RONI ANDERSON BARBOSA - PT - PR - Deputado Federal / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;01/10/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 20.000,00;Cheque;1301 - MARCOS VILAS BOAS PESCADOR - PT - PR - Deputado Federal / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;10/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 30.000,00;Cheque;13111 - PEDRO PAULO COSTA - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;10/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 70.000,00;Cheque;13233 - LUCIANA GUZELLA RAFAGININ - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;10/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 30.000,00;Cheque;13115 - PERICLES DE HOLLEBEM DE MELLO - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;30/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 20.000,00;Cheque;13333 - FLORISVALDO RAIMUNDO DE SOUZA - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;19/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 10.000,00;Cheque;13133 - MARIO CANDIDO DE OLIVEIRA - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;09/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 35.000,00;Cheque;1331 - RONI ANDERSON BARBOSA - PT - PR - Deputado Federal / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;09/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 40.000,00;Cheque;1313 - FLORISVALDO FIER - DR. ROSINHA - PT - PR - Deputado Federal / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;17/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 17.700,00;Cheque;13115 - PERICLES DE HOLLEBEN MELLO - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;24/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 30.000,00;Cheque;13166 - ELTON WELTER - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;19/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 40.000,00;Cheque;13111 - PEDRO PAULO COSTA - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;30/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 20.000,00;Cheque;13400 - LYGIA LUMINA PUPATTO - PT - PR - Deputado Estadual / Comitê Financeiro Único - PT - PR;
Comitê Financeiro Único - PT;12.200.121/0001-66;27/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 3.000,00;Cheque;1322 - ANGELO VANHONI - PT - PR - Deputado Federal / Comitê Financeiro Único - PT - PR;
E.S.I TECNOLOGIA DA INFORMAÇÃO LTDA;08.584.355/0001-87;30/09/2010;       Publicidade por placas, estandartes e faixas;R$ 32.210,00;Cheque; -  -  / Comitê Financeiro Único - PT - PR;
HANGAR 18 - COMUNICAÇÃO VISUAL LTDA;11.148.054/0001-15;27/09/2010;       Publicidade por placas, estandartes e faixas;R$ 10.710,00;Cheque; -  -  / Comitê Financeiro Único - PT - PR;
INDÚSTRIA GRÁFICA E EDITORA SERENA LTDA;76.651.421/0001-44;01/10/2010;       Publicidade por materiais impressos;R$ 37.530,00;Cheque; -  -  / Comitê Financeiro Único - PT - PR;
KEOPS INDUSTRIA GRAFICA S/A;01.674.524/0001-20;01/10/2010;       Publicidade por materiais impressos;R$ 113.370,00;Cheque; -  -  / Comitê Financeiro Único - PT - PR;
LIVE PROMO LTDA;10.530.249/0001-62;29/09/2010;       Serviços prestados por terceiros;R$ 130.000,00;Cheque; -  -  / Comitê Financeiro Único - PT - PR;
OLIVEIROS MARQUES COMUNICAÇÃO POLITICA LTDA;11.439.738/0001-76;20/09/2010;       Serviços prestados por terceiros;R$ 200.000,00;Cheque; -  -  / Comitê Financeiro Único - PT - PR;
OLIVEIROS MARQUES COMUNICAÇÃO POLITICA LTDA;11.439.738/0001-76;02/10/2010;       Serviços prestados por terceiros;R$ 270.000,00;Cheque; -  -  / Comitê Financeiro Único - PT - PR;
OLIVEIROS MARQUES COMUNICAÇÃO POLITICA LTDA;11.439.738/0001-76;16/09/2010;       Serviços prestados por terceiros;R$ 250.000,00;Cheque; -  -  / Comitê Financeiro Único - PT - PR;
VALORE PESQUISA DE OPINIAO E MERCADO LTDA;01.890.832/0001-93;04/08/2010;       Pesquisas ou testes eleitorais;R$ 171.000,00;Cheque; -  -  / Comitê Financeiro Único - PT - PR;
