Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
ARMANDO HOLANDA ADVOCACIA E CONSULTORIA S/C;03.408.730/0001-14;17/09/2010;       Diversas a especificar;R$ 60.000,00;Cheque; -  -  / Comitê Financeiro Único - PV - RN;
Comitê Financeiro Único - PV;12.206.657/0001-99;17/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 100.000,00;Cheque;43333 - FRANCISCO GILSON DE MOURA - PV - RN - Deputado Estadual / Comitê Financeiro Único - PV - RN;
Comitê Financeiro Único - PV;12.206.657/0001-99;17/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 190.000,00;Cheque;4347 - CARLA ROSYMAR A. DE SOUSA BARRETO - PV - RN - Deputado Federal / Comitê Financeiro Único - PV - RN;
Comitê Financeiro Único - PV;12.206.657/0001-99;17/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 50.000,00;Cheque;4333 - PAULO WAGNER LEITE DANTAS - PV - RN - Deputado Federal / Comitê Financeiro Único - PV - RN;
Comitê Financeiro Único - PV;12.206.657/0001-99;17/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 100.000,00;Cheque;43123 - MIGUEL HENRIQUE DE OLIVEIRA WEBER - PV - RN - Deputado Estadual / Comitê Financeiro Único - PV - RN;
Comitê Financeiro Único - PV;12.206.657/0001-99;17/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 50.000,00;Cheque;43607 - LUIZ ALMIR FILGUEIRAS MAGALHAES - PV - RN - Deputado Estadual / Comitê Financeiro Único - PV - RN;
Comitê Financeiro Único - PV;12.206.657/0001-99;17/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 80.000,00;Cheque;4307 - MARCUS CESAR CAVALCANTI DE MORAIS - PV - RN - Deputado Federal / Comitê Financeiro Único - PV - RN;
CONTAGEC CONTABILIDADE GERAL LTDA;08.890.605/0001-07;14/09/2010;       Diversas a especificar;R$ 50.000,00;Cheque; -  -  / Comitê Financeiro Único - PV - RN;
CONTAGEC CONTABILIDADE GERAL LTDA;08.890.605/0001-07;01/10/2010;       Diversas a especificar;R$ 4.100,00;Cheque; -  -  / Comitê Financeiro Único - PV - RN;
GRAFICA SANTA MARTA LTDA;09.098.419/0001-00;20/08/2010;       Publicidade por materiais impressos;R$ 70.000,00;Cheque; -  -  / Comitê Financeiro Único - PV - RN;
IMPRESSAO GRAFICA E EDITORA LTDA;04.352.782/0001-89;03/09/2010;       Publicidade por materiais impressos;R$ 855,00;Cheque; -  -  / Comitê Financeiro Único - PV - RN;
MARCA PROPAGANDA E MARKETING LTDA;06.110.037/0001-59;17/09/2010;       Diversas a especificar;R$ 100.000,00;Cheque; -  -  / Comitê Financeiro Único - PV - RN;
P MARCIO MARCIANO PRODUÇÕES;04.120.591/0001-91;17/09/2010;       Produção de programas de rádio, televisão ou vídeo;R$ 15.000,01;Cheque; -  -  / Comitê Financeiro Único - PV - RN;
PRISMA CINEVIDEO LTDA;06.296.294/0001-27;23/09/2010;       Produção de programas de rádio, televisão ou vídeo;R$ 30.000,00;Cheque; -  -  / Comitê Financeiro Único - PV - RN;
