Doador;CPF/CNPJ;Data;Nº Recibo Eleitoral;Valor R$;Espécie do Recurso;Tipo do Comitê;Partido;UF;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;12/08/2010;19000054006;R$ 8.500,00;Transferência eletrônica;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;14/09/2010;19000054013;R$ 260,00;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;02/09/2010;19000054011;R$ 400,00;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;22/07/2010;19000054001;R$ 520,00;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;13/09/2010;19000054017;R$ 8.500,00;Transferência eletrônica;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;02/10/2010;19000054025;R$ 174.650,00;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;23/08/2010;19000054007;R$ 1.400,00;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;02/10/2010;19000054022;R$ 187.550,00;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;23/09/2010;19000054020;R$ 35,76;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;02/09/2010;19000054010;R$ 82,50;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;14/09/2010;19000054012;R$ 71,52;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;02/10/2010;19000054024;R$ 193.500,00;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;02/09/2010;19000054009;R$ 800,00;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;14/09/2010;19000054014;R$ 87,50;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;29/07/2010;19000054002;R$ 340,00;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;29/07/2010;19000054003;R$ 1.140,00;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;23/09/2010;19000054021;R$ 270,00;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;14/09/2010;19000054015;R$ 97,50;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;15/09/2010;19000054018;R$ 910,00;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;10/08/2010;19000054005;R$ 1.710,00;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;10/08/2010;19000054008;R$ 165,00;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;02/10/2010;19000054023;R$ 100.000,00;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;23/09/2010;19000054019;R$ 650,00;Estimado;Comitê Financeiro Único;PTN;RO;
Comitê Financeiro Estadual/Distrital para Presidente da República;12.205.276/0001-95;14/09/2010;19000054016;R$ 97,50;Estimado;Comitê Financeiro Único;PTN;RO;
