Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;26/08/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 1.200,00;Estimado;Comitê Financeiro Distrital/Estadual para Governador - PPS -  / Comitê Financeiro Único - PHS - RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;31/08/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 600,00;Estimado;Comitê Financeiro Distrital/Estadual para Governador - PPS -  / Comitê Financeiro Único - PHS - RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;31/07/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 1.200,00;Estimado;Comitê Financeiro Distrital/Estadual para Governador - PPS -  / Comitê Financeiro Único - PHS - RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;09/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 35,76;Estimado;Comitê Financeiro Distrital/Estadual para Governador - PPS -  / Comitê Financeiro Único - PHS - RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;14/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 130,00;Estimado;Comitê Financeiro Distrital/Estadual para Governador - PPS -  / Comitê Financeiro Único - PHS - RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;17/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 780,00;Estimado;Comitê Financeiro Distrital/Estadual para Governador - PPS -  / Comitê Financeiro Único - PHS - RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;19/08/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 400,00;Estimado;Comitê Financeiro Distrital/Estadual para Governador - PPS -  / Comitê Financeiro Único - PHS - RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;26/08/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 780,00;Estimado;Comitê Financeiro Distrital/Estadual para Governador - PPS -  / Comitê Financeiro Único - PHS - RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;10/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 70,00;Estimado;Comitê Financeiro Distrital/Estadual para Governador - PPS -  / Comitê Financeiro Único - PHS - RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;13/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 620,00;Estimado;Comitê Financeiro Distrital/Estadual para Governador - PPS -  / Comitê Financeiro Único - PHS - RO;
