Doador;CPF/CNPJ;Data;Nº Recibo Eleitoral;Valor R$;Espécie do Recurso;Tipo do Comitê;Partido;UF;
BR BRASIL FOODS S/A;01.838.723/0001-27;21/09/2010;12001076561;R$ 10.000,00;Transferência eletrônica;Comitê Financeiro Único;PDT;RS;
BRASKEM S.A;42.150.391/0001-70;29/09/2010;12001076563;R$ 30.000,00;Transferência eletrônica;Comitê Financeiro Único;PDT;RS;
BRASKEM S.A;42.150.391/0001-70;01/09/2010;12001076555;R$ 320.000,00;Transferência eletrônica;Comitê Financeiro Único;PDT;RS;
CONSTRUTORA QUEIROZ GALVÃO S/A;33.412.792/0001-60;28/09/2010;12001076564;R$ 100.000,00;Transferência eletrônica;Comitê Financeiro Único;PDT;RS;
CVI REFRIGERANTES LTDA;72.114.994/0001-88;22/09/2010;12001076560;R$ 15.000,00;Transferência eletrônica;Comitê Financeiro Único;PDT;RS;
Diretório Estadual/Distrital;88.483.128/0001-02;30/07/2010;12001076552;R$ 100.000,00;Cheque;Comitê Financeiro Único;PDT;RS;
Diretório Nacional;00.719.575/0001-69;22/09/2010;12001076562;R$ 100.000,00;Transferência eletrônica;Comitê Financeiro Único;PDT;RS;
Diretório Nacional;00.719.575/0001-69;09/09/2010;12001076558;R$ 200.000,00;Cheque;Comitê Financeiro Único;PDT;RS;
GERDAL COML DE ACOS SA;07.369.685/0001-97;26/08/2010;12001076553;R$ 250.000,00;Transferência eletrônica;Comitê Financeiro Único;PDT;RS;
GERDAL COML DE ACOS SA;07.369.685/0001-97;09/09/2010;12001076551;R$ 50.000,00;Transferência eletrônica;Comitê Financeiro Único;PDT;RS;
IPIRANGA PRODUTOS DE PETRÓLEO S/A;33.337.122/0001-27;14/09/2010;12001076556;R$ 50.000,00;Transferência eletrônica;Comitê Financeiro Único;PDT;RS;
ROSSI RESIDENCIAL S/A;61.065.751/0017-48;22/09/2010;12001076557;R$ 15.000,00;Depósito em espécie;Comitê Financeiro Único;PDT;RS;
