Doador;CPF/CNPJ;Data;Nº Recibo Eleitoral;Valor R$;Espécie do Recurso;Nome do Candidato;Número do Candidato;Candidatura;Partido;UF;
Comitê Financeiro Único;12.205.251/0001-91;23/08/2010;13001139502;R$ 5.000,00;Cheque;ROSELY APARECIDA DE ARAÚJO;13900;Deputado Estadual;PT;TO;
Comitê Financeiro Único;12.205.251/0001-91;06/09/2010;13001139509;R$ 1.667,00;Estimado;ROSELY APARECIDA DE ARAÚJO;13900;Deputado Estadual;PT;TO;
Comitê Financeiro Único;12.191.502/0001-26;03/10/2010;13001139513;R$ 800,00;Estimado;ROSELY APARECIDA DE ARAÚJO;13900;Deputado Estadual;PT;TO;
Comitê Financeiro Único;12.191.502/0001-26;03/10/2010;13001139512;R$ 2.525,00;Estimado;ROSELY APARECIDA DE ARAÚJO;13900;Deputado Estadual;PT;TO;
Comitê Financeiro Único;12.191.502/0001-26;03/10/2010;13001139511;R$ 3.850,00;Estimado;ROSELY APARECIDA DE ARAÚJO;13900;Deputado Estadual;PT;TO;
Comitê Financeiro Único;12.191.502/0001-26;18/08/2010;13001139501;R$ 1.070,00;Estimado;ROSELY APARECIDA DE ARAÚJO;13900;Deputado Estadual;PT;TO;
Comitê Financeiro Único;12.191.502/0001-26;13/09/2010;13001139506;R$ 1.770,00;Estimado;ROSELY APARECIDA DE ARAÚJO;13900;Deputado Estadual;PT;TO;
Comitê Financeiro Único;12.205.251/0001-91;08/09/2010;13001139507;R$ 5.000,00;Cheque;ROSELY APARECIDA DE ARAÚJO;13900;Deputado Estadual;PT;TO;
Comitê Financeiro Único;12.191.502/0001-26;03/10/2010;13001139510;R$ 1.007,75;Estimado;ROSELY APARECIDA DE ARAÚJO;13900;Deputado Estadual;PT;TO;
Diretório Nacional;00.676.262/0002-51;25/08/2010;13001139505;R$ 47.500,00;Transferência eletrônica;ROSELY APARECIDA DE ARAÚJO;13900;Deputado Estadual;PT;TO;
ELEIÇÃO 2010 - DIVINO DONIZETE BORGES NOGUEIRA;12.181.800/0001-35;25/08/2010;13001139508;R$ 1.300,00;Estimado;ROSELY APARECIDA DE ARAÚJO;13900;Deputado Estadual;PT;TO;
ELEIÇÃO 2010 - DIVINO DONIZETE BORGES NOGUEIRA - DEPUTADO FEDERAL;12.181.800/0001-35;25/08/2010;13001139514;R$ 400,00;Estimado;ROSELY APARECIDA DE ARAÚJO;13900;Deputado Estadual;PT;TO;
ELEIÇÕES 2010 DIVINO DONIZETE BORGES NOGUEIRA.;12.181.800/0001-35;25/08/2010;13001139503;R$ 900,00;Estimado;ROSELY APARECIDA DE ARAÚJO;13900;Deputado Estadual;PT;TO;
