Doador;CPF/CNPJ;Data;Nº Recibo Eleitoral;Valor R$;Espécie do Recurso;Nome do Candidato;Número do Candidato;Candidatura;Partido;UF;
Comitê Financeiro Estadual/Distrital para Senador da República;12.147.828/0001-56;21/09/2010;27000035976;R$ 2.000,00;Cheque;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
Comitê Financeiro Único;12.205.236/0001-43;14/09/2010;27000035982;R$ 164,00;Estimado;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
Comitê Financeiro Único;12.205.236/0001-43;23/09/2010;27000035990;R$ 98,20;Estimado;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
Comitê Financeiro Único;12.205.236/0001-43;22/09/2010;27000035989;R$ 55,64;Estimado;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
Comitê Financeiro Único;12.205.236/0001-43;22/09/2010;27000035988;R$ 63,82;Estimado;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
Comitê Financeiro Único;12.205.236/0001-43;20/09/2010;27000035987;R$ 147,27;Estimado;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
Comitê Financeiro Único;12.205.236/0001-43;30/09/2010;27000035977;R$ 166,66;Estimado;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
Comitê Financeiro Único;12.205.236/0001-43;14/09/2010;27000035978;R$ 68,73;Estimado;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
Comitê Financeiro Único;12.205.236/0001-43;14/09/2010;27000035981;R$ 7,20;Estimado;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
Comitê Financeiro Único;12.205.236/0001-43;29/09/2010;27000035991;R$ 1.488,85;Estimado;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
Comitê Financeiro Único;12.205.236/0001-43;14/09/2010;27000035983;R$ 41,36;Estimado;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
Comitê Financeiro Único;12.205.236/0001-43;14/09/2010;27000035984;R$ 36,82;Estimado;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
Comitê Financeiro Único;12.205.236/0001-43;14/09/2010;27000035985;R$ 120,00;Estimado;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
Comitê Financeiro Único;12.205.236/0001-43;20/09/2010;27000035986;R$ 147,30;Estimado;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
ELEIÇAO 2010 GLADSON DE LIMA CAMELI DEP.FEDERAL;12.176.958/0001-17;26/08/2010;27000035974;R$ 2.890,00;Estimado;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
GLADSON DE LIMA CAMELI;12.176.958/0001-17;24/09/2010;27000035980;R$ 5.000,00;Transferência eletrônica;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
GLADSON DE LIMA CAMELI;12.176.958/0001-17;21/09/2010;27000035979;R$ 20.000,00;Transferência eletrônica;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
GLADSON DE LIMA CAMELI;12.176.958/0001-17;02/09/2010;27000035975;R$ 15.000,00;Transferência eletrônica;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
RECOL DISTRIBUIÇÃO LTDA;04.598.413/0001-70;30/08/2010;27000035972;R$ 7.000,00;Cheque;MICHEL OLIVEIRA DA ROCHA;27999;Deputado Estadual;PSDC;AC;
