Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;02/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 200.000,00;Cheque;45 - ELEIÇÃO 2010 TEOTONIO BRANDAO VILELA FILHO - PSDB - AL - Governador / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;22/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 23.000,00;Cheque;45456 - ELEIÇÃO 2010 VALQUIRIA ALVES BRANDAO CESAR - PSDB - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;14/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 50.000,00;Cheque;23123 - ELEIÇÃO 2010 JOSE REGIS BARROS CAVALCANTE - PPS - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;15/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 300.000,00;Cheque;4566 - ELEIÇÃO 2010 ALEXANDRE DE MELO TOLEDO - PSDB - AL - Deputado Federal / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;17/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 50.000,00;Cheque;40000 - ELEIÇÃO 2010 ALBERTO JOSE MENDONÇA CAVALCANTI - PSB - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;21/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 4.000,00;Cheque;25225 - ELEIÇÃO 2010 EUFRASIO PEDRO PAULINO - DEM - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;22/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 7.000,00;Cheque;25234 - ELEIÇÃO 2010 JOSE DOMINICIO DE FARIAS - DEM - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;27/10/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 24.000,00;Cheque;4500 - ELEIÇÃO 2010 RUI SOARES PALMEIRA - PSDB - AL - Deputado Federal / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;29/10/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 150.000,00;Cheque;Direção Estadual/Distrital - PSDB - AL / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;23/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 929.950,00;Cheque;45 - ELEIÇÃO 2010 TEOTÔNIO BRANDÃO VILELA FILHO - PSDB - AL - Governador / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;21/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 5.000,00;Cheque;25077 - ELEIÇÃO 2010 JOSE DANIEL TORRES PINTO - DEM - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;21/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 8.000,00;Cheque;2500 - ELEIÇÃO 2010 HENRIQUETA EVA CARDEAL - DEM - AL - Deputado Federal / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;21/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 8.000,00;Cheque;25025 - ELEIÇÃO HELIO SILVA DE OLIVEIRA - DEM - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;30/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 23.000,00;Cheque;40123 - ELEIÇÃO 2010 KATIA BORN RIBEIRO - PSB - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;20/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 50.000,00;Cheque;45678 - ELEIÇÃO 2010 INACIO LOIOLA D FREITAS - PSDB - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;23/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 70.000,00;Cheque;40123 - ELEIÇÃO 2010 KATIA BORN RIBEIRO - PSB - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;01/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 150.000,00;Cheque;4500 - ELEIÇÃO 2010 RIO SOARES PALMEIRA - PSDB - AL - Deputado Federal / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;30/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 40.000,00;Cheque;2010 - ELEIÇÃO 2010 JORGE VI LAMENHA LINS - PSC - AL - Deputado Federal / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;22/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 100.000,00;Cheque;45678 - ELEIÇÃO 2010 INACIO LOIOLA DAMASCENO FREITAS - PSDB - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;14/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 40.000,00;Cheque;11110 - ELEIÇÃO 2010 MARIA HELENA ALMEIDA AMORIM - PP - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;14/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 100.000,00;Cheque;25123 - ELEIÇÃO 2010 JOÃO LUIZ ROCHA - DEM - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;09/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 120.000,00;Cheque;45 - ELEIÇÃO 2010 TEOTONIO BRANDAO VILELA FILHO - PSDB - AL - Governador / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;29/10/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 171.700,00;Cheque;45 - ELEIÇÃO 2010 TEOTÔNIO BRANDÃO VILELA FILHO - PSDB - AL - Governador / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;21/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 7.000,00;Cheque;25456 - ELEIÇÃO 2010 MARIA JOSE DA SILVA - DEM - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;02/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 50.000,00;Cheque;4566 - ELEIÇÃO 2010 ALEXANDRE DE MELO TOLEDO - PSDB - AL - Deputado Federal / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;14/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 40.000,00;Cheque;40123 - ELEIÇÃO 2010 THALMANN BERNARDES FARIAS - PSB - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;17/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 50.000,00;Cheque;45678 - ELEIÇÃO 2010 INACIO LOIOLOLA FREITAS - PSDB - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;24/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 50.000,00;Cheque;23123 - ELEIÇÃO 2010 JOSE REGIS BARROS CAVALCANTE - PPS - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;17/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 250.000,00;Cheque;45 - ELEIÇAO 2010 TEOTÔNIO BRANDÃO VILELA FILHO - PSDB - AL - Governador / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;14/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 50.000,00;Cheque;2525 - ELEIÇÃO 2010 FERNANDO JOSE REZENDE DE BARROS - DEM - AL - Deputado Federal / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;24/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 50.000,00;Cheque;45222 - ELEIÇÃO 2010 GILVAN GOMES BARROS - PSDB - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;17/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 70.000,00;Cheque;4040 - ELEIÇÃO 2010 GIVALDO DE SÁ GOUVEIA - PSB - AL - Deputado Federal / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;20/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 4.000,00;Cheque;25777 - ELEIÇÃO 2010 HELIANA LEIMBECK NOGUEIRA - DEM - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;20/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 10.000,00;Cheque;20000 - ELEIÇÃO 2010 THAISE DE SOUZA GUEDES - PSC - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;21/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 8.000,00;Cheque;2522 - ELEIÇÃO 2010 IVAN GALDINHO DA SILVA - DEM - AL - Deputado Federal / Comitê Financeiro Único - PSDB - AL;
Comitê Financeiro Único - PSDB;12.200.114/0001-64;02/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 40.000,00;Cheque;45123 - ELEIÇÃO 2010 FERNANDO RIBEIRO TOLEDO - PSDB - AL - Deputado Estadual / Comitê Financeiro Único - PSDB - AL;
FLAYONE SERVIÇO AÉREO ESPECIALIZADO, COMÉRCIO E SERVIÇOS LTDA;03.945.337/0001-60;29/10/2010;       Despesas com transporte ou deslocamento;R$ 25.000,00;Cheque; -  -  / Comitê Financeiro Único - PSDB - AL;
FLAYONE SERVIÇO AÉREO ESPECIALIZADO, COMÉRCIO E SERVIÇOS LTDA;03.945.337/0001-60;27/10/2010;       Despesas com transporte ou deslocamento;R$ 7.350,00;Cheque; -  -  / Comitê Financeiro Único - PSDB - AL;
FLAYONE SERVIÇO AÉREO ESPECIALIZADO, COMÉRCIO E SERVIÇOS LTDA;03.945.337/0001-60;27/10/2010;       Despesas com transporte ou deslocamento;R$ 75.000,00;Cheque; -  -  / Comitê Financeiro Único - PSDB - AL;
082 PRODUÇÕES LTDA ME;09.095.052/0001-63;15/09/2010;       Produção de programas de rádio, televisão ou vídeo;R$ 100.000,00;Cheque; -  -  / Comitê Financeiro Único - PSDB - AL;
082 PRODUÇÕES LTDA ME;09.095.052/0001-63;29/09/2010;       Produção de programas de rádio, televisão ou vídeo;R$ 100.000,00;Cheque; -  -  / Comitê Financeiro Único - PSDB - AL;
082 PRODUÇÕES LTDA ME;09.095.052/0001-63;20/09/2010;       Produção de programas de rádio, televisão ou vídeo;R$ 100.000,00;Cheque; -  -  / Comitê Financeiro Único - PSDB - AL;
