Doador;CPF/CNPJ;Data;Nº Recibo Eleitoral;Valor R$;Espécie do Recurso;Tipo do Comitê;Partido;UF;
CONSTRUÇÕES E COMERCIO CAMARGO CORREIA S/A;61.522.512/0001-02;18/08/2010;25000469701;R$ 120.000,00;Transferência eletrônica;Comitê Financeiro Único;DEM;ES;
CONSTRUTORA QUEIROZ GALVÃO S/A;33.412.792/0001-60;21/09/2010;25000469708;R$ 150.000,00;Transferência eletrônica;Comitê Financeiro Único;DEM;ES;
CORAU VEÍCULOS E PEÇAS LTDA;28.672.004/0001-35;20/09/2010;25000469707;R$ 28.000,00;Transferência eletrônica;Comitê Financeiro Único;DEM;ES;
ENGENHARIA CONSTRUTORA ARARIBÓIA LTDA;28.038.024/0001-59;27/08/2010;25000469702;R$ 25.000,00;Transferência eletrônica;Comitê Financeiro Único;DEM;ES;
FERROUS RESOURCES DO BRASIL S/A;08.852.207/0001-04;24/09/2010;25000469709;R$ 50.000,00;Transferência eletrônica;Comitê Financeiro Único;DEM;ES;
FERTILIZANTES FOSFATADOS S/A FOSFERTIL;19.443.985/0001-58;13/09/2010;25000469705;R$ 60.000,00;Cheque;Comitê Financeiro Único;DEM;ES;
PELICANO CONSTRUÇÕES LTDA;27.426.196/0001-37;27/09/2010;25000469710;R$ 50.000,00;Cheque;Comitê Financeiro Único;DEM;ES;
PELICANO CONSTRUÇÕES LTDA;27.426.196/0001-37;13/09/2010;25000469704;R$ 50.000,00;Cheque;Comitê Financeiro Único;DEM;ES;
ULTRAFERTIL S/A;02.476.026/0001-36;16/09/2010;25000469706;R$ 90.000,00;Cheque;Comitê Financeiro Único;DEM;ES;
VERDI CONSTRUÇÕES S/A;03.928.516/0001-99;09/09/2010;25000469703;R$ 100.000,00;Transferência eletrônica;Comitê Financeiro Único;DEM;ES;
