Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
CHURRASCARIA PORTEIRA;07.845.659/0001-98;02/10/2010;       Alimentação;R$ 700,00;Transferência eletrônica; -  -  / Comitê Financeiro Único - PT do B - ES;
Comitê Financeiro Único - PT do B;12.205.215/0001-28;20/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 405,00;Transferência eletrônica;70670 - WALTER CANOSSA DA COSTA - PT do B - ES - Deputado Estadual / Comitê Financeiro Único - PT do B - ES;
Comitê Financeiro Único - PT do B;12.205.215/0001-28;23/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 1.000,00;Transferência eletrônica;70077 - JOAQUIM INOCENCIO - PT do B - ES - Deputado Estadual / Comitê Financeiro Único - PT do B - ES;
Comitê Financeiro Único - PT do B;12.205.215/0001-28;23/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 1.000,00;Transferência eletrônica;70670 - WALTER CANOSSA - PT do B - ES - Deputado Estadual / Comitê Financeiro Único - PT do B - ES;
Comitê Financeiro Único - PT do B;12.205.215/0001-28;20/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 405,00;Transferência eletrônica;70866 - NAILCE LOURENÇO - PT do B - ES - Deputado Estadual / Comitê Financeiro Único - PT do B - ES;
Comitê Financeiro Único - PT do B;12.205.215/0001-28;23/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 1.000,00;Transferência eletrônica;70444 - JOSE VILMAR FERREIRA - PT do B - ES - Deputado Estadual / Comitê Financeiro Único - PT do B - ES;
Comitê Financeiro Único - PT do B;12.205.215/0001-28;20/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 405,00;Transferência eletrônica;70000 - JOSES ALVES DA ROCHA - PT do B - ES - Deputado Estadual / Comitê Financeiro Único - PT do B - ES;
Comitê Financeiro Único - PT do B;12.205.215/0001-28;20/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 405,00;Transferência eletrônica;70077 - JOAQUIM INOCENCIO - PT do B - ES - Deputado Estadual / Comitê Financeiro Único - PT do B - ES;
Comitê Financeiro Único - PT do B;12.205.215/0001-28;23/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 1.000,00;Transferência eletrônica;70866 - NAILCE LOURENÇO - PT do B - ES - Deputado Estadual / Comitê Financeiro Único - PT do B - ES;
Comitê Financeiro Único - PT do B;12.205.215/0001-28;23/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 3.000,00;Transferência eletrônica;70000 - JOSE ALVES DE SOUZA - PT do B - ES - Deputado Estadual / Comitê Financeiro Único - PT do B - ES;
Comitê Financeiro Único - PT do B;12.205.215/0001-28;20/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 405,00;Transferência eletrônica;70444 - JOSE VILMAR FERREIRA - PT do B - ES - Deputado Estadual / Comitê Financeiro Único - PT do B - ES;
Comitê Financeiro Único - PT do B;12.205.215/0001-28;30/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 675,00;Transferência eletrônica;70123 - WANILDO PASCOAL - PT do B - ES - Deputado Estadual / Comitê Financeiro Único - PT do B - ES;
FERNANDA KARLA FAGUNDES DIAS ME;11.182.434/0001-76;20/09/2010;       Publicidade por materiais impressos;R$ 5.800,00;Transferência eletrônica; -  -  / Comitê Financeiro Único - PT do B - ES;
