Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
Comitê Financeiro Único - PP;12.221.857/0001-10;02/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 74.000,00;Transferência eletrônica;11234 - JOSE GERALDO RIVA - PP - MT - Deputado Estadual / Comitê Financeiro Único - PP - MT;
Comitê Financeiro Único - PP;12.221.857/0001-10;02/09/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 76.000,00;Transferência eletrônica;1140 - ELIENE JOSE DE LIMA - PP - MT - Deputado Federal / Comitê Financeiro Único - PP - MT;
;;29/10/2010;       Encargos financeiros e taxas bancárias;R$ 24,00;Débito em conta; -  -  / Comitê Financeiro Único - PP - MT;
;;29/10/2010;       Encargos financeiros e taxas bancárias;R$ 0,09;Débito em conta; -  -  / Comitê Financeiro Único - PP - MT;
;;29/10/2010;       Encargos financeiros e taxas bancárias;R$ 0,01;Débito em conta; -  -  / Comitê Financeiro Único - PP - MT;
;;01/10/2010;       Encargos financeiros e taxas bancárias;R$ 2,60;Débito em conta; -  -  / Comitê Financeiro Único - PP - MT;
;;29/10/2010;       Encargos financeiros e taxas bancárias;R$ 0,03;Débito em conta; -  -  / Comitê Financeiro Único - PP - MT;
;;29/10/2010;       Encargos financeiros e taxas bancárias;R$ 2,66;Débito em conta; -  -  / Comitê Financeiro Único - PP - MT;
;;01/10/2010;       Encargos financeiros e taxas bancárias;R$ 0,14;Débito em conta; -  -  / Comitê Financeiro Único - PP - MT;
;;02/09/2010;       Encargos financeiros e taxas bancárias;R$ 13,50;Débito em conta; -  -  / Comitê Financeiro Único - PP - MT;
;;29/10/2010;       Encargos financeiros e taxas bancárias;R$ 2,50;Débito em conta; -  -  / Comitê Financeiro Único - PP - MT;
;;31/08/2010;       Encargos financeiros e taxas bancárias;R$ 2,50;Débito em conta; -  -  / Comitê Financeiro Único - PP - MT;
;;02/09/2010;       Encargos financeiros e taxas bancárias;R$ 13,50;Débito em conta; -  -  / Comitê Financeiro Único - PP - MT;
