Doador;CPF/CNPJ;Data;Nº Recibo Eleitoral;Valor R$;Espécie do Recurso;Tipo do Comitê;Partido;UF;
Diretório Nacional;03.653.474/0001-20;05/08/2010;45000301403;R$ 200.000,00;Transferência eletrônica;Comitê Financeiro Único;PSDB;RR;
Diretório Nacional;03.653.474/0001-20;27/09/2010;45000301407;R$ 600.000,00;Transferência eletrônica;Comitê Financeiro Único;PSDB;RR;
Diretório Nacional;03.653.474/0001-20;03/08/2010;45000301401;R$ 650.000,00;Transferência eletrônica;Comitê Financeiro Único;PSDB;RR;
Diretório Nacional;03.653.474/0001-20;27/10/2010;45000301412;R$ 360.000,00;Transferência eletrônica;Comitê Financeiro Único;PSDB;RR;
Diretório Nacional;03.653.474/0001-20;24/09/2010;45000301406;R$ 390.000,00;Transferência eletrônica;Comitê Financeiro Único;PSDB;RR;
Diretório Nacional;03.653.474/0001-20;31/08/2010;45000301404;R$ 1.000.000,00;Transferência eletrônica;Comitê Financeiro Único;PSDB;RR;
Diretório Nacional;03.653.474/0001-20;30/09/2010;45000301409;R$ 300.000,00;Transferência eletrônica;Comitê Financeiro Único;PSDB;RR;
Diretório Nacional;03.653.474/0001-20;18/10/2010;45000301410;R$ 100.000,00;Transferência eletrônica;Comitê Financeiro Único;PSDB;RR;
Diretório Nacional;03.653.474/0001-20;24/11/2010;45000301414;R$ 265.000,00;Transferência eletrônica;Comitê Financeiro Único;PSDB;RR;
VIA EMPREENDIMENTOS IMOBILIARIOS S/A;03.554.207/0001-04;25/10/2010;45000301411;R$ 250.000,00;Transferência eletrônica;Comitê Financeiro Único;PSDB;RR;
VIA ENGENHARIA S/A;00.584.755/0001-80;15/09/2010;45000301405;R$ 200.000,00;Transferência eletrônica;Comitê Financeiro Único;PSDB;RR;
VIA ENGENHARIA S/A;00.584.755/0001-80;05/08/2010;45000301402;R$ 150.000,00;Transferência eletrônica;Comitê Financeiro Único;PSDB;RR;
VIA ENGENHARIA S/A;00.584.755/0001-80;28/09/2010;45000301408;R$ 150.000,00;Transferência eletrônica;Comitê Financeiro Único;PSDB;RR;
