Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
Comitê Financeiro Único - PSB;12.200.103/0001-84;24/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 10.000,00;Transferência eletrônica;4050 - VICENTE PAULO DE OLIVEIRA SELISTRE - PSB - RS - Deputado Federal / Comitê Financeiro Único - PSB - RS;
Comitê Financeiro Único - PSB;12.200.103/0001-84;24/08/2010;       Doações financeiras a outros candidatos e/ou comitês financeiros;R$ 4.500,00;Transferência eletrônica;4077 - MARIA NELI ALVES OLIVEIRA - PSB - RS - Deputado Federal / Comitê Financeiro Único - PSB - RS;
JSG LOCAÇÕES DE EQUIPAMENTOS LTDA.;07.146.717/0001-95;20/08/2010;       Produção de programas de rádio, televisão ou vídeo;R$ 52.000,00;Transferência eletrônica; -  -  / Comitê Financeiro Único - PSB - RS;
LISA TUR LEANDRO A. ARISI TRANSPORTADORA TURÍSTICA LTDA.;09.666.464/0001-06;27/09/2010;       Despesas com transporte ou deslocamento;R$ 184.170,00;Cheque; -  -  / Comitê Financeiro Único - PSB - RS;
LISA TUR LEANDRO A. ARISI TRANSPORTADORA TURÍSTICA LTDA.;09.666.464/0001-06;01/10/2010;       Despesas com transporte ou deslocamento;R$ 18.029,10;Cheque; -  -  / Comitê Financeiro Único - PSB - RS;
TECHNOLOGICA ÁUDIO PRODUTORA LTDA.;06.321.768/0001-43;20/08/2010;       Produção de programas de rádio, televisão ou vídeo;R$ 40.000,00;Transferência eletrônica; -  -  / Comitê Financeiro Único - PSB - RS;
;;20/08/2010;       Encargos financeiros e taxas bancárias;R$ 14,00;Débito em conta; -  -  / Comitê Financeiro Único - PSB - RS;
;;24/08/2010;       Encargos financeiros e taxas bancárias;R$ 7,00;Débito em conta; -  -  / Comitê Financeiro Único - PSB - RS;
;;01/10/2010;       Encargos financeiros e taxas bancárias;R$ 13,50;Débito em conta; -  -  / Comitê Financeiro Único - PSB - RS;
;;24/09/2010;       Encargos financeiros e taxas bancárias;R$ 13,50;Débito em conta; -  -  / Comitê Financeiro Único - PSB - RS;
;;27/09/2010;       Encargos financeiros e taxas bancárias;R$ 13,50;Débito em conta; -  -  / Comitê Financeiro Único - PSB - RS;
